_id,arrival,destination,departure,minPrice
ObjectID(565d80fbf252bb58becdd110),2016-12-29T00:00:00.000Z,"IAD",2016-12-20T00:00:00.000Z,51721
ObjectID(565d80fbf252bb58becdd111),2016-12-28T00:00:00.000Z,"IAD",2016-12-20T00:00:00.000Z,55721
ObjectID(565d80fbf252bb58becdd112),2017-01-02T00:00:00.000Z,"DCA",2016-12-26T00:00:00.000Z,48372
ObjectID(565d80fbf252bb58becdd113),2017-01-03T00:00:00.000Z,"IAD",2016-12-19T00:00:00.000Z,58233
ObjectID(565d80fbf252bb58becdd114),2017-01-11T00:00:00.000Z,"ORD",2017-01-06T00:00:00.000Z,50046
ObjectID(565d80fbf252bb58becdd115),2016-12-19T00:00:00.000Z,"OGG",2016-12-10T00:00:00.000Z,29668
ObjectID(565d80fbf252bb58becdd116),2017-01-17T00:00:00.000Z,"HNL",2016-12-18T00:00:00.000Z,85453
ObjectID(565d80fbf252bb58becdd117),2016-12-14T00:00:00.000Z,"OGG",2016-12-10T00:00:00.000Z,31664
ObjectID(565d80fbf252bb58becdd118),2016-12-15T00:00:00.000Z,"OGG",2016-12-10T00:00:00.000Z,28078
ObjectID(565d80fbf252bb58becdd119),2016-12-16T00:00:00.000Z,"OGG",2016-12-10T00:00:00.000Z,27278
ObjectID(565d80fbf252bb58becdd11a),2016-12-17T00:00:00.000Z,"OGG",2016-12-10T00:00:00.000Z,27278
ObjectID(565d80fbf252bb58becdd11b),2017-01-02T00:00:00.000Z,"IAD",2016-12-19T00:00:00.000Z,74977
ObjectID(565d80fbf252bb58becdd11c),2016-12-27T00:00:00.000Z,"IAD",2016-12-20T00:00:00.000Z,67535
ObjectID(565d80fbf252bb58becdd11d),2016-12-30T00:00:00.000Z,"SNA",2016-12-23T00:00:00.000Z,28466
ObjectID(565d80fbf252bb58becdd11e),2016-12-15T00:00:00.000Z,"BOS",2016-12-05T00:00:00.000Z,23628
ObjectID(565d80fbf252bb58becdd11f),2016-12-07T00:00:00.000Z,"OAK",2016-12-05T00:00:00.000Z,9345
ObjectID(565d80fbf252bb58becdd120),2016-12-06T00:00:00.000Z,"OAK",2016-12-05T00:00:00.000Z,13396
ObjectID(565d80fbf252bb58becdd121),2017-01-03T00:00:00.000Z,"LAX",2016-12-15T00:00:00.000Z,20558
ObjectID(565d80fbf252bb58becdd122),2017-01-02T00:00:00.000Z,"LAX",2016-12-15T00:00:00.000Z,28000
ObjectID(565d80fbf252bb58becdd123),2016-12-18T00:00:00.000Z,"MSY",2016-12-13T00:00:00.000Z,34605
ObjectID(565d80fbf252bb58becdd124),2017-01-04T00:00:00.000Z,"MCO",2016-12-21T00:00:00.000Z,82977
ObjectID(565d80fbf252bb58becdd125),2016-12-15T00:00:00.000Z,"BWI",2016-12-05T00:00:00.000Z,24744
ObjectID(565d80fbf252bb58becdd126),2017-01-19T00:00:00.000Z,"SAN",2017-01-14T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd127),2017-01-27T00:00:00.000Z,"DCA",2017-01-20T00:00:00.000Z,21768
ObjectID(565d80fbf252bb58becdd128),2017-01-11T00:00:00.000Z,"ATL",2017-01-06T00:00:00.000Z,32372
ObjectID(565d80fbf252bb58becdd129),2017-01-23T00:00:00.000Z,"DCA",2017-01-20T00:00:00.000Z,43348
ObjectID(565d80fbf252bb58becdd12a),2017-01-18T00:00:00.000Z,"SAN",2017-01-14T00:00:00.000Z,14791
ObjectID(565d80fbf252bb58becdd12b),2017-02-02T00:00:00.000Z,"HNL",2017-01-26T00:00:00.000Z,38127
ObjectID(565d80fbf252bb58becdd12c),2017-01-30T00:00:00.000Z,"SAN",2017-01-23T00:00:00.000Z,15628
ObjectID(565d80fbf252bb58becdd12d),2017-02-24T00:00:00.000Z,"MCO",2017-01-19T00:00:00.000Z,22418
ObjectID(565d80fbf252bb58becdd12e),2016-12-23T00:00:00.000Z,"SAN",2016-12-19T00:00:00.000Z,26605
ObjectID(565d80fbf252bb58becdd12f),2017-01-18T00:00:00.000Z,"SJC",2017-01-16T00:00:00.000Z,14047
ObjectID(565d80fbf252bb58becdd130),2016-12-14T00:00:00.000Z,"DCA",2016-12-10T00:00:00.000Z,22884
ObjectID(565d80fbf252bb58becdd131),2017-01-02T00:00:00.000Z,"SJC",2016-12-19T00:00:00.000Z,27534
ObjectID(565d80fbf252bb58becdd132),2017-01-03T00:00:00.000Z,"SJC",2016-12-19T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd133),2016-12-11T00:00:00.000Z,"DCA",2016-12-10T00:00:00.000Z,77581
ObjectID(565d80fbf252bb58becdd134),2016-12-08T00:00:00.000Z,"MIA",2016-12-06T00:00:00.000Z,32000
ObjectID(565d80fbf252bb58becdd135),2016-12-13T00:00:00.000Z,"DCA",2016-12-10T00:00:00.000Z,24000
ObjectID(565d80fbf252bb58becdd136),2016-12-27T00:00:00.000Z,"MIA",2016-12-17T00:00:00.000Z,69489
ObjectID(565d80fbf252bb58becdd137),2016-12-22T00:00:00.000Z,"JFK",2016-12-17T00:00:00.000Z,65108
ObjectID(565d80fbf252bb58becdd138),2016-12-27T00:00:00.000Z,"SFO",2016-12-19T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd139),2016-12-21T00:00:00.000Z,"SFO",2016-12-19T00:00:00.000Z,13768
ObjectID(565d80fbf252bb58becdd13a),2016-12-23T00:00:00.000Z,"SFO",2016-12-19T00:00:00.000Z,15256
ObjectID(565d80fbf252bb58becdd13b),2016-12-22T00:00:00.000Z,"SFO",2016-12-19T00:00:00.000Z,17582
ObjectID(565d80fbf252bb58becdd13c),2016-12-16T00:00:00.000Z,"SJC",2016-12-10T00:00:00.000Z,10046
ObjectID(565d80fbf252bb58becdd13d),2016-12-11T00:00:00.000Z,"SNA",2016-12-07T00:00:00.000Z,18698
ObjectID(565d80fbf252bb58becdd13e),2017-02-10T00:00:00.000Z,"OGG",2017-02-03T00:00:00.000Z,35630
ObjectID(565d80fbf252bb58becdd13f),2017-01-09T00:00:00.000Z,"MIA",2016-12-31T00:00:00.000Z,89093
ObjectID(565d80fbf252bb58becdd140),2017-03-06T00:00:00.000Z,"MCO",2017-02-19T00:00:00.000Z,34512
ObjectID(565d80fbf252bb58becdd141),2017-02-09T00:00:00.000Z,"LGB",2017-02-03T00:00:00.000Z,12838
ObjectID(565d80fbf252bb58becdd142),2016-12-15T00:00:00.000Z,"ORD",2016-12-13T00:00:00.000Z,32093
ObjectID(565d80fbf252bb58becdd143),2016-12-21T00:00:00.000Z,"JFK",2016-12-17T00:00:00.000Z,59393
ObjectID(565d80fbf252bb58becdd144),2017-01-09T00:00:00.000Z,"SNA",2017-01-03T00:00:00.000Z,16837
ObjectID(565d80fbf252bb58becdd145),2016-12-21T00:00:00.000Z,"HNL",2016-12-11T00:00:00.000Z,36095
ObjectID(565d80fbf252bb58becdd146),2017-01-01T00:00:00.000Z,"BWI",2016-12-22T00:00:00.000Z,50977
ObjectID(565d80fbf252bb58becdd147),2016-12-06T00:00:00.000Z,"MIA",2016-12-02T00:00:00.000Z,37209
ObjectID(565d80fbf252bb58becdd148),2016-12-07T00:00:00.000Z,"MIA",2016-12-02T00:00:00.000Z,25860
ObjectID(565d80fbf252bb58becdd149),2016-12-27T00:00:00.000Z,"HNL",2016-12-11T00:00:00.000Z,59029
ObjectID(565d80fbf252bb58becdd14a),2016-12-05T00:00:00.000Z,"MIA",2016-12-02T00:00:00.000Z,31721
ObjectID(565d80fbf252bb58becdd14b),2017-02-15T00:00:00.000Z,"OGG",2017-02-08T00:00:00.000Z,37092
ObjectID(565d80fbf252bb58becdd14c),2016-12-08T00:00:00.000Z,"MIA",2016-12-02T00:00:00.000Z,25860
ObjectID(565d80fbf252bb58becdd14d),2017-01-04T00:00:00.000Z,"SFO",2017-01-04T00:00:00.000Z,21396
ObjectID(565d80fbf252bb58becdd14e),2017-01-04T00:00:00.000Z,"BWI",2016-12-12T00:00:00.000Z,36652
ObjectID(565d80fbf252bb58becdd14f),2016-12-11T00:00:00.000Z,"ORD",2016-12-08T00:00:00.000Z,27721
ObjectID(565d80fbf252bb58becdd150),2016-12-07T00:00:00.000Z,"ORD",2016-12-05T00:00:00.000Z,31628
ObjectID(565d80fbf252bb58becdd151),2017-01-02T00:00:00.000Z,"OAK",2016-12-26T00:00:00.000Z,23163
ObjectID(565d80fbf252bb58becdd152),2016-12-08T00:00:00.000Z,"ORD",2016-12-05T00:00:00.000Z,54976
ObjectID(565d80fbf252bb58becdd153),2016-12-20T00:00:00.000Z,"DCA",2016-12-16T00:00:00.000Z,25860
ObjectID(565d80fbf252bb58becdd154),2017-02-20T00:00:00.000Z,"SAN",2017-02-13T00:00:00.000Z,28930
ObjectID(565d80fbf252bb58becdd155),2017-01-01T00:00:00.000Z,"MCO",2016-12-20T00:00:00.000Z,61302
ObjectID(565d80fbf252bb58becdd156),2016-12-28T00:00:00.000Z,"JFK",2016-12-17T00:00:00.000Z,55150
ObjectID(565d80fbf252bb58becdd157),2017-01-03T00:00:00.000Z,"MCO",2016-12-20T00:00:00.000Z,56462
ObjectID(565d80fbf252bb58becdd158),2016-12-31T00:00:00.000Z,"OGG",2016-12-25T00:00:00.000Z,65492
ObjectID(565d80fbf252bb58becdd159),2017-01-07T00:00:00.000Z,"LAX",2016-12-19T00:00:00.000Z,22884
ObjectID(565d80fbf252bb58becdd15a),2017-02-19T00:00:00.000Z,"MSY",2017-02-14T00:00:00.000Z,33393
ObjectID(565d80fbf252bb58becdd15b),2017-01-02T00:00:00.000Z,"ATL",2016-12-26T00:00:00.000Z,20279
ObjectID(565d80fbf252bb58becdd15c),2017-02-01T00:00:00.000Z,"FLL",2017-01-27T00:00:00.000Z,26790
ObjectID(565d80fbf252bb58becdd15d),2016-12-20T00:00:00.000Z,"OGG",2016-12-10T00:00:00.000Z,61322
ObjectID(565d80fbf252bb58becdd15e),2016-12-13T00:00:00.000Z,"HNL",2016-12-09T00:00:00.000Z,36295
ObjectID(565d80fbf252bb58becdd15f),2017-01-20T00:00:00.000Z,"OGG",2017-01-09T00:00:00.000Z,55938
ObjectID(565d80fbf252bb58becdd160),2016-12-24T00:00:00.000Z,"SFO",2016-12-19T00:00:00.000Z,14264
ObjectID(565d80fbf252bb58becdd161),2017-01-04T00:00:00.000Z,"EWR",2016-12-17T00:00:00.000Z,47070
ObjectID(565d80fbf252bb58becdd162),2016-12-13T00:00:00.000Z,"ORD",2016-12-08T00:00:00.000Z,32093
ObjectID(565d80fbf252bb58becdd163),2016-12-31T00:00:00.000Z,"LAX",2016-12-17T00:00:00.000Z,19907
ObjectID(565d80fbf252bb58becdd164),2016-12-04T00:00:00.000Z,"SAN",2016-12-03T00:00:00.000Z,17489
ObjectID(565d80fbf252bb58becdd165),2016-12-04T00:00:00.000Z,"JFK",2016-12-02T00:00:00.000Z,25582
ObjectID(565d80fbf252bb58becdd166),2016-12-06T00:00:00.000Z,"SAN",2016-12-03T00:00:00.000Z,13861
ObjectID(565d80fbf252bb58becdd167),2017-01-02T00:00:00.000Z,"ONT",2016-12-22T00:00:00.000Z,23627
ObjectID(565d80fbf252bb58becdd168),2016-12-15T00:00:00.000Z,"LAX",2016-12-01T00:00:00.000Z,11348
ObjectID(565d80fbf252bb58becdd169),2017-02-02T00:00:00.000Z,"OGG",2017-01-29T00:00:00.000Z,34859
ObjectID(565d80fbf252bb58becdd16a),2016-12-03T00:00:00.000Z,"SAN",2016-12-03T00:00:00.000Z,32186
ObjectID(565d80fbf252bb58becdd16b),2016-12-26T00:00:00.000Z,"ATL",2016-12-20T00:00:00.000Z,51814
ObjectID(565d80fbf252bb58becdd16c),2017-02-18T00:00:00.000Z,"HNL",2017-02-13T00:00:00.000Z,57209
ObjectID(565d80fbf252bb58becdd16d),2016-12-08T00:00:00.000Z,"SAN",2016-12-03T00:00:00.000Z,12838
ObjectID(565d80fbf252bb58becdd16e),2017-01-06T00:00:00.000Z,"SAN",2017-01-04T00:00:00.000Z,36093
ObjectID(565d80fbf252bb58becdd16f),2017-02-07T00:00:00.000Z,"HNL",2017-01-30T00:00:00.000Z,37492
ObjectID(565d80fbf252bb58becdd170),2017-01-08T00:00:00.000Z,"LAX",2016-12-15T00:00:00.000Z,16837
ObjectID(565d80fbf252bb58becdd171),2017-02-29T00:00:00.000Z,"OGG",2017-02-21T00:00:00.000Z,35098
ObjectID(565d80fbf252bb58becdd172),2016-12-03T00:00:00.000Z,"SAN",2016-12-01T00:00:00.000Z,20465
ObjectID(565d80fbf252bb58becdd173),2017-01-10T00:00:00.000Z,"LAX",2016-12-28T00:00:00.000Z,20837
ObjectID(565d80fbf252bb58becdd174),2016-12-13T00:00:00.000Z,"SAN",2016-12-11T00:00:00.000Z,12837
ObjectID(565d80fbf252bb58becdd175),2016-12-27T00:00:00.000Z,"MCO",2016-12-21T00:00:00.000Z,56092
ObjectID(565d80fbf252bb58becdd176),2016-12-15T00:00:00.000Z,"SAN",2016-12-11T00:00:00.000Z,23349
ObjectID(565d80fbf252bb58becdd177),2016-12-04T00:00:00.000Z,"SAN",2016-12-01T00:00:00.000Z,48837
ObjectID(565d80fbf252bb58becdd178),2016-12-05T00:00:00.000Z,"SAN",2016-12-01T00:00:00.000Z,13582
ObjectID(565d80fbf252bb58becdd179),2016-12-18T00:00:00.000Z,"SAN",2016-12-11T00:00:00.000Z,23349
ObjectID(565d80fbf252bb58becdd17a),2016-12-28T00:00:00.000Z,"DCA",2016-12-25T00:00:00.000Z,52744
ObjectID(565d80fbf252bb58becdd17b),2016-12-29T00:00:00.000Z,"MCO",2016-12-21T00:00:00.000Z,61302
ObjectID(565d80fbf252bb58becdd17c),2016-12-28T00:00:00.000Z,"MCO",2016-12-21T00:00:00.000Z,48743
ObjectID(565d80fbf252bb58becdd17d),2017-01-25T00:00:00.000Z,"MCO",2017-01-16T00:00:00.000Z,46976
ObjectID(565d80fbf252bb58becdd17e),2017-01-22T00:00:00.000Z,"SNA",2017-01-21T00:00:00.000Z,40558
ObjectID(565d80fbf252bb58becdd17f),2017-01-25T00:00:00.000Z,"MCO",2017-01-17T00:00:00.000Z,19906
ObjectID(565d80fbf252bb58becdd180),2017-02-28T00:00:00.000Z,"SFO",2017-02-25T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd181),2017-01-26T00:00:00.000Z,"SNA",2017-01-21T00:00:00.000Z,12372
ObjectID(565d80fbf252bb58becdd182),2016-12-13T00:00:00.000Z,"SJC",2016-12-12T00:00:00.000Z,20000
ObjectID(565d80fbf252bb58becdd183),2016-12-13T00:00:00.000Z,"SFO",2016-12-07T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd184),2016-12-21T00:00:00.000Z,"SFO",2016-12-17T00:00:00.000Z,16324
ObjectID(565d80fbf252bb58becdd185),2016-12-20T00:00:00.000Z,"SFO",2016-12-17T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd186),2016-12-11T00:00:00.000Z,"OGG",2016-12-04T00:00:00.000Z,33104
ObjectID(565d80fbf252bb58becdd187),2016-12-26T00:00:00.000Z,"SFO",2016-12-17T00:00:00.000Z,18791
ObjectID(565d80fbf252bb58becdd188),2017-01-04T00:00:00.000Z,"BUR",2016-12-10T00:00:00.000Z,26140
ObjectID(565d80fbf252bb58becdd189),2016-12-12T00:00:00.000Z,"OGG",2016-12-04T00:00:00.000Z,42576
ObjectID(565d80fbf252bb58becdd18a),2016-12-26T00:00:00.000Z,"SJC",2016-12-23T00:00:00.000Z,14326
ObjectID(565d80fbf252bb58becdd18b),2016-12-27T00:00:00.000Z,"SJC",2016-12-23T00:00:00.000Z,13271
ObjectID(565d80fbf252bb58becdd18c),2017-01-10T00:00:00.000Z,"LAX",2016-12-29T00:00:00.000Z,17767
ObjectID(565d80fbf252bb58becdd18d),2017-01-13T00:00:00.000Z,"LAX",2016-12-29T00:00:00.000Z,18698
ObjectID(565d80fbf252bb58becdd18e),2017-01-12T00:00:00.000Z,"LAX",2016-12-29T00:00:00.000Z,18326
ObjectID(565d80fbf252bb58becdd18f),2017-02-06T00:00:00.000Z,"MIA",2017-01-29T00:00:00.000Z,49767
ObjectID(565d80fbf252bb58becdd190),2017-02-07T00:00:00.000Z,"MIA",2017-01-29T00:00:00.000Z,41209
ObjectID(565d80fbf252bb58becdd191),2016-12-13T00:00:00.000Z,"SAN",2016-12-09T00:00:00.000Z,12837
